LavatoryID	Description	City	Street	Number (Time)	PostalCode	Country	Longitude	Latitude	isOwnedByWall	isHandicappedAccessible	Price	canBePayedWithCoins	canBePayedInApp	canBePayedWithNFC	hasChangingTable	LabelID
Wall_5386	Toilette Neuer Schildhornweg (Badewiese Teufelssee) (ex. Teufelssee)	Berlin	Teufelssee , Schildhornweg	(0-24 Uhr)	14193	Deutschland	13,23469444	52,48952778	1	0	0	0	0	0	0	5
Wall_5387	Toilette Parkplatz Große Steinlake	Berlin	Havelchaussee	(0-24 Uhr)	14109	Deutschland	13,18988889	52,45458333	1	0	0	0	0	0	0	5
Wall_5388	Toilette Wasserrettungsstation Heckeshorn/Großer Wannsee	Berlin	Heckeshorn , Uferweg	(0-24 Uhr)	14109	Deutschland	13,16505556	52,43480556	1	0	0	0	0	0	0	5
Wall_5389	Toilette Pfaueninselchaussee (Wasserrettungsstation Jagen 97)	Berlin	Uferpromenade	(0-24 Uhr)	14109	Deutschland	13,12941667	52,42938889	1	0	0	0	0	0	0	5
Wall_5390	Toilette Heuweg (Wasserrettungsstation Alter Hof/Jagen 95)	Berlin	Uferpromenade	(0-24 Uhr)	14109	Deutschland	13,14322222	52,43241667	1	0	0	0	0	0	0	5
Wall_5391	Toilette Parkplatz Südufer Krumme Lanke	Berlin	Krumme Lanke , Fischerhüttenweg	(0-24 Uhr)	14193	Deutschland	13,22883333	52,44775	1	0	0	0	0	0	0	5
Wall_5392	Toilette Paul-Ernst-Park (Schlachtensee)	Berlin	Schlachtensee , Am Schlachtensee	(0-24 Uhr)	14129	Deutschland	13,21547222	52,44077778	1	0	0	0	0	0	0	5
Wall_5393	Toilette Schönhauser Allee	Berlin	Senefelderplatz , Metzer Str.	(0-24 Uhr)	10119	Deutschland	13,41288889	52,53244444	1	0	0	0	0	0	0	4
Wall_5394	Toilette Haus Nr. 59 (Badestelle/Rettungsstelle Havel) (ex. Heiligensee/Badewiese)	Berlin	Sandhauser Str.	(0-24 Uhr)	13503	Deutschland	13,22155556	52,59436111	1	0	0	0	0	0	0	5
Wall_54774	Toilette Dr.-Kleusberg-Promenade	Berlin	Scharfe Lanke	ggü. 133 B (0-24 Uhr)	13589	Deutschland	13,18521	52,50165	1	0	0	0	0	0	0	5
Fremd_1	Toilette Am Denkmal für die ermordeten Juden Europas (Hannah-Arendt-Straße | Ecke Cora-Berliner-Straße)	Berlin	Am Denkmal für die ermordeten Juden Europas (Hannah-Arendt-Straße | Ecke Cora-Berliner-Straße)		10117	Deutschland	13,38045	52,51376	0	1	0	0	0	0	0	6
Fremd_10	Toilette Tempelhofer Feld	Berlin	Tempelhofer Feld		10965	Deutschland	13,40874	52,4793	0	0	0	0	0	0	0	6
Fremd_12	Toilette Wannsee (Sommerbetrieb)	Berlin	Wannsee (Sommerbetrieb)		14129	Deutschland	13,17935	52,43684	0	0	0	0	0	0	0	6
Fremd_13	Toilette Leopoldplatz (Schulstraße | Turiner Straße)	Berlin	Leopoldplatz (Schulstraße | Turiner Straße)		13347	Deutschland	13,36125	52,54789	0	1	0,1	1	0	0	0	6
Fremd_15	Toilette Volkspark Friedrichshain | Neuer Hain	Berlin	Volkspark Friedrichshain | Neuer Hain		10249	Deutschland	13,43486	52,52773	0	1	0	0	0	0	0	6
Fremd_16	Toilette Oranienplatz	Berlin	Oranienplatz		10969	Deutschland	13,41514	52,50263	0	0	0	0	0	0	0	6
Fremd_17	Toilette Cuvrystraße	Berlin	Cuvrystraße		10997	Deutschland	13,44417	52,49827	0	0	0	0	0	0	0	6
Fremd_18	Toilette Mariannenplatz	Berlin	Mariannenplatz		10997	Deutschland	13,42465	52,5031	0	1	0	0	0	0	0	6
Fremd_19	Toilette Kleiner Tiergarten | Stromstraße	Berlin	Kleiner Tiergarten | Stromstraße		10551	Deutschland	13,34312	52,52585	0	0	0	0	0	0	0	6
Fremd_2	Toilette Ehemaliger Garnisonfriedhof | Müllerstraße	Berlin	Ehemaliger Garnisonfriedhof | Müllerstraße		13347	Deutschland	13,35924	52,54892	0	0	0	0	0	0	0	6
Fremd_3	Toilette Park am Gleisdreieck	Berlin	Park am Gleisdreieck		10963	Deutschland	13,37306	52,49629	0	1	0	0	0	0	0	6
Fremd_4	Toilette Park am Gleisdreieck	Berlin	Park am Gleisdreieck		10963	Deutschland	13,3769	52,49502	0	1	0	0	0	0	0	6
Fremd_5	Toilette Tempelhofer Feld	Berlin	Tempelhofer Feld		12049	Deutschland	13,41755	52,47681	0	1	0	0	0	0	0	6
Fremd_6	Toilette Tempelhofer Feld	Berlin	Tempelhofer Feld		12049	Deutschland	13,41766	52,47019	0	1	0	0	0	0	0	6
Fremd_7	Toilette Tempelhofer Feld	Berlin	Tempelhofer Feld		12101	Deutschland	13,38677	52,4713	0	1	0	0	0	0	0	6
Fremd_8	Toilette Tempelhofer Feld	Berlin	Tempelhofer Feld		10965	Deutschland	13,40995	52,4794	0	1	0	0	0	0	0	6
Fremd_9	Toilette Tempelhofer Feld	Berlin	Tempelhofer Feld		10965	Deutschland	13,40423	52,4817	0	0	0	0	0	0	0	6
